vehicle_brand,year,cubic_capacity,km_driven,selling_price
Ford,2012,2953.0,110000,500000
Hyundai,2007,1086.0,90000,165000
Mahindra,2016,2523.0,73000,670000
Tata,2011,1405.0,120000,210000
Volkswagen,2010,1598.0,120000,320000
Tata,2015,1405.0,80000,250000
Maruti,2014,998.0,35000,310000
Maruti,2016,1248.0,54000,725000
Hyundai,2016,1396.0,30000,650000
Renault,2016,799.0,22000,250000
Maruti,2016,998.0,27000,459999
Ford,2014,1399.0,80322,325000
Maruti,2015,1197.0,117000,500000
Maruti,2013,1248.0,50000,600000
Volkswagen,2011,1199.0,77000,320000
Toyota,2011,2494.0,89580,650000
Maruti,2008,,50000,229999
Maruti,2017,796.0,80000,300000
Volkswagen,2011,1598.0,100000,300000
Hyundai,2016,1396.0,40000,650000
Hyundai,2006,,118000,80000
Nissan,2014,1198.0,30000,390000
Maruti,2016,1248.0,70000,800000
Maruti,2006,1298.0,44000,120000
Nissan,2013,1198.0,91400,310000
Honda,2016,1498.0,80000,765000
Maruti,2018,1248.0,120000,550000
Maruti,2018,1197.0,25000,800000
Maruti,2014,1248.0,67000,490000
Hyundai,2010,1197.0,60000,250000
Ford,2016,1498.0,73000,459999
Maruti,2009,1586.0,110000,150000
Tata,2007,1405.0,100000,130000
Honda,2006,1497.0,110000,165000
Maruti,2012,1197.0,70000,275000
Maruti,2012,998.0,60000,300000
Maruti,2014,998.0,50000,320000
Hyundai,2014,814.0,40000,250000
Tata,2011,2179.0,140000,229999
Ford,2019,1498.0,17000,725000
Hyundai,2008,1599.0,100000,160000
Toyota,2015,2494.0,100000,850000
Renault,2019,999.0,35000,300000
Hyundai,2015,1120.0,135000,409999
Honda,2013,1498.0,140000,350000
Maruti,2014,1248.0,90000,530000
Tata,2018,1199.0,25000,490000
Maruti,2016,,77321,595000
Honda,2012,1497.0,83000,550000
Mercedes-Benz,2017,2143.0,48000,2100000
Tata,2009,2179.0,212000,229999
Hyundai,2008,1086.0,90000,165000
Volkswagen,2016,1199.0,40000,395000
Mahindra,2011,2609.0,70000,441000
Maruti,2012,1248.0,100000,400000
Volkswagen,2011,1199.0,120000,330000
Chevrolet,2015,936.0,55000,240000
Skoda,2006,1781.0,120000,100000
Hyundai,2011,1197.0,90000,290000
Honda,2017,1497.0,6825,1150000
Mahindra,2017,1493.0,100000,620000
Maruti,2015,1248.0,59292,495000
Mahindra,2011,2523.0,91863,370000
Hyundai,2015,814.0,17000,290000
Tata,2005,1405.0,120000,90000
Mahindra,2014,1461.0,110000,350000
Mahindra,2011,2179.0,475000,400000
Mahindra,2017,1493.0,100000,725000
Hyundai,2016,1197.0,30000,370000
Maruti,2018,998.0,30000,470000
Tata,2017,1248.0,80000,459999
Maruti,2016,1248.0,50000,650000
Mahindra,2005,2523.0,80000,250000
Hyundai,2017,1197.0,25000,620000
Honda,2007,1497.0,70000,220000
Maruti,2018,1248.0,5000,750000
Tata,2010,1405.0,120000,180000
Tata,2009,1368.0,75000,150000
Maruti,2015,1196.0,20000,380000
Chevrolet,2011,1991.0,40000,300000
Maruti,2011,1248.0,120000,430000
Hyundai,2015,1197.0,100000,350000
Maruti,2010,796.0,150000,85000
Hyundai,2017,814.0,31000,280000
Hyundai,2013,1396.0,110000,380000
Mahindra,2014,2523.0,120000,680000
Hyundai,2012,1396.0,100000,400000
Hyundai,2011,1086.0,97000,165000
Tata,2017,1248.0,90000,490000
Maruti,2018,1248.0,50000,851000
Chevrolet,2011,1399.0,60000,130000
Hyundai,2011,1396.0,120000,250000
Hyundai,2006,,80000,70000
Toyota,2005,2494.0,120000,245000
Volkswagen,2012,1198.0,40000,310000
Maruti,2016,1248.0,45000,950000
Renault,2017,999.0,30000,300000
Maruti,2015,796.0,20000,170000
Maruti,2014,998.0,70000,300000
Toyota,2010,2494.0,160000,650000
Ford,2011,1196.0,25000,245000
Hyundai,2017,1197.0,30000,630000
Toyota,2017,2393.0,81000,1450000
Maruti,2013,1248.0,70000,356000
Maruti,2019,1462.0,1620,1040000
Mahindra,2010,2489.0,77088,465000
Renault,2015,1461.0,240000,550000
Hyundai,2010,1086.0,110000,150000
Mitsubishi,2013,2477.0,181491,950000
Tata,2019,1199.0,10000,550000
Toyota,2017,2755.0,70000,3100000
Mahindra,2014,2179.0,136000,800000
Fiat,2016,1172.0,33003,265000
Ford,2017,1498.0,42000,960000
Maruti,2013,1248.0,100000,409999
Audi,2016,1968.0,30000,2375000
Maruti,2015,796.0,40000,270000
Maruti,2011,796.0,50000,215000
Maruti,2010,998.0,70000,150000
Mahindra,2014,2523.0,120000,509999
Mahindra,2016,1997.0,100000,1100000
Maruti,2017,1197.0,35000,570000
Tata,2018,1199.0,40000,400000
Maruti,2004,796.0,70000,90000
Chevrolet,2011,1199.0,90000,125000
Maruti,2015,796.0,70000,250000
Honda,2006,1497.0,70000,160000
Ford,2014,1498.0,132000,500000
Audi,2018,1968.0,31800,3975000
Ford,2018,1498.0,30000,793000
Hyundai,2010,1086.0,70000,200000
Maruti,2016,1248.0,50000,650000
Maruti,2016,1248.0,147000,600000
Mahindra,2011,2179.0,320000,400000
Chevrolet,2009,995.0,80000,80000
Hyundai,2016,1396.0,80000,800000
Maruti,1999,1298.0,70000,70000
Maruti,2017,1248.0,28050,800000
Volkswagen,2011,1598.0,100000,370000
Maruti,2003,993.0,121000,200000
Hyundai,2018,814.0,25000,350000
Hyundai,2014,1197.0,147000,400000
Mahindra,2011,2489.0,100000,250000
Renault,2012,1461.0,100000,570000
Hyundai,2009,1086.0,90000,120000
Honda,2017,1497.0,18300,890000
Toyota,2014,1364.0,50000,425000
Mahindra,2018,1198.0,6000,650000
Maruti,2013,1248.0,120000,470000
Toyota,2014,1364.0,54891,480000
Hyundai,2012,1086.0,20000,265000
Maruti,2016,1197.0,37000,550000
Mahindra,2019,1497.0,5000,1460000
Mahindra,2014,2179.0,139000,645000
Maruti,2015,1248.0,80000,640000
Hyundai,2015,1396.0,74000,580000
Hyundai,2010,1197.0,70000,300000
Toyota,2013,2494.0,80000,800000
Tata,2018,2179.0,30000,1575000
Datsun,2018,799.0,50000,280000
Mahindra,2014,2489.0,160000,310000
Maruti,2010,1248.0,110000,350000
Tata,2015,624.0,20000,250000
Ford,2007,1399.0,110000,125000
Hyundai,2016,1591.0,25000,749000
Hyundai,2018,1197.0,20000,801000
Honda,2014,1498.0,80000,750000
Mahindra,2013,1493.0,110000,350000
